dataset_group,fold,evaluation,dataset,classifier,Macro_F1,Accuracy,Precision_macro,Recall_macro,ROC_AUC,inner_fold
covid,1,synthetic_only_internal_cv,Fixed_Sep_low_sep0.25_anchor0.0,CatBoost,0.39802469135802465,0.5660377358490566,0.3953252032520325,0.4009615384615385,0.5692307692307692,4.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_low_sep0.25_anchor0.0,XGBoost,0.5212903225806451,0.6037735849056604,0.5246031746031746,0.5298076923076923,0.6288461538461538,4.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_low_sep0.25_anchor0.0,CatBoost,0.5190562613430127,0.7169811320754716,0.549645390070922,0.5269230769230769,0.5788461538461539,5.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_low_sep0.25_anchor0.0,XGBoost,0.5411255411255411,0.6981132075471698,0.553030303030303,0.5403846153846154,0.6326923076923077,5.0
covid,1,train_synthetic_test_real_cv,Fixed_Sep_medium_sep0.5_anchor0.0,CatBoost,0.4017857142857143,0.6716417910447762,0.36885245901639346,0.4411764705882353,0.5073529411764706,
covid,1,train_synthetic_test_real_cv,Fixed_Sep_medium_sep0.5_anchor0.0,XGBoost,0.46659743856005537,0.6567164179104478,0.46590909090909094,0.4742647058823529,0.5367647058823529,
covid,1,synthetic_only_internal_cv,Fixed_Sep_medium_sep0.5_anchor0.0,CatBoost,0.6625,0.7407407407407407,0.6625,0.6625,0.75,1.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_medium_sep0.5_anchor0.0,XGBoost,0.5090909090909091,0.7037037037037037,0.5416666666666666,0.5214285714285715,0.7196428571428571,1.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_medium_sep0.5_anchor0.0,CatBoost,0.5714285714285714,0.7037037037037037,0.5863636363636364,0.5678571428571428,0.7035714285714285,2.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_medium_sep0.5_anchor0.0,XGBoost,0.5856777493606138,0.7222222222222222,0.6111111111111112,0.5803571428571428,0.7160714285714285,2.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_medium_sep0.5_anchor0.0,CatBoost,0.7132034632034632,0.8113207547169812,0.7537878787878788,0.6932692307692307,0.8442307692307692,3.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_medium_sep0.5_anchor0.0,XGBoost,0.7306910569105691,0.8113207547169812,0.7467532467532467,0.7192307692307692,0.8346153846153846,3.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_medium_sep0.5_anchor0.0,CatBoost,0.3764705882352941,0.6037735849056604,0.35555555555555557,0.4,0.48461538461538467,4.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_medium_sep0.5_anchor0.0,XGBoost,0.38372093023255816,0.6226415094339622,0.358695652173913,0.4125,0.4673076923076923,4.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_medium_sep0.5_anchor0.0,CatBoost,0.5686046511627907,0.7358490566037735,0.6055900621118012,0.5653846153846154,0.6903846153846154,5.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_medium_sep0.5_anchor0.0,XGBoost,0.5546218487394958,0.7169811320754716,0.5763888888888888,0.5528846153846154,0.7557692307692307,5.0
covid,1,train_synthetic_test_real_cv,Fixed_Sep_high_sep1.0_anchor0.0,CatBoost,0.5778577857785778,0.6865671641791045,0.5764705882352942,0.579656862745098,0.6004901960784313,
covid,1,train_synthetic_test_real_cv,Fixed_Sep_high_sep1.0_anchor0.0,XGBoost,0.48461538461538467,0.6417910447761194,0.4845013477088949,0.48590686274509803,0.5661764705882353,
covid,1,synthetic_only_internal_cv,Fixed_Sep_high_sep1.0_anchor0.0,CatBoost,0.640920716112532,0.7592592592592593,0.6777777777777778,0.6285714285714286,0.8482142857142857,1.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_high_sep1.0_anchor0.0,XGBoost,0.7137349397590362,0.7962962962962963,0.7367864693446089,0.7,0.8589285714285715,1.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_high_sep1.0_anchor0.0,CatBoost,0.7230769230769231,0.7777777777777778,0.7154605263157895,0.7339285714285715,0.8410714285714286,2.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_high_sep1.0_anchor0.0,XGBoost,0.7107142857142856,0.7777777777777778,0.7107142857142856,0.7107142857142856,0.8285714285714285,2.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_high_sep1.0_anchor0.0,CatBoost,0.7314189189189189,0.7735849056603774,0.7190402476780186,0.7721153846153846,0.826923076923077,3.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_high_sep1.0_anchor0.0,XGBoost,0.7314189189189189,0.7735849056603774,0.7190402476780186,0.7721153846153846,0.8288461538461539,3.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_high_sep1.0_anchor0.0,CatBoost,0.7705627705627706,0.8490566037735849,0.8207070707070707,0.7442307692307693,0.925,4.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_high_sep1.0_anchor0.0,XGBoost,0.750130958617077,0.8301886792452831,0.7802325581395348,0.7317307692307693,0.9096153846153846,4.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_high_sep1.0_anchor0.0,CatBoost,0.6918604651162791,0.8113207547169812,0.7701863354037267,0.6673076923076923,0.851923076923077,5.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_high_sep1.0_anchor0.0,XGBoost,0.6558441558441558,0.7735849056603774,0.6868686868686869,0.6423076923076924,0.8634615384615385,5.0
covid,1,train_synthetic_test_real_cv,Fixed_Anchor_low_sep0.0_anchor0.25,CatBoost,0.5298245614035088,0.7611940298507462,0.6388888888888888,0.5428921568627452,0.5318627450980392,
covid,1,train_synthetic_test_real_cv,Fixed_Anchor_low_sep0.0_anchor0.25,XGBoost,0.4635482511588706,0.7164179104477612,0.4790322580645161,0.49203431372549017,0.5490196078431373,
covid,1,synthetic_only_internal_cv,Fixed_Anchor_low_sep0.0_anchor0.25,CatBoost,0.4291754756871036,0.6296296296296297,0.421195652173913,0.4482142857142857,0.4946428571428572,1.0
covid,1,synthetic_only_internal_cv,Fixed_Anchor_low_sep0.0_anchor0.25,XGBoost,0.4934333958724203,0.6296296296296297,0.49404761904761907,0.49464285714285716,0.4589285714285714,1.0
covid,1,synthetic_only_internal_cv,Fixed_Anchor_low_sep0.0_anchor0.25,CatBoost,0.43842364532019706,0.6481481481481481,0.43313069908814594,0.4607142857142857,0.5366071428571428,2.0
covid,1,synthetic_only_internal_cv,Fixed_Anchor_low_sep0.0_anchor0.25,XGBoost,0.4477272727272727,0.6666666666666666,0.44791666666666663,0.4732142857142857,0.49196428571428574,2.0
covid,1,synthetic_only_internal_cv,Fixed_Anchor_low_sep0.0_anchor0.25,CatBoost,0.4847222222222222,0.7358490566037735,0.5466666666666666,0.5134615384615384,0.5307692307692308,3.0
covid,1,synthetic_only_internal_cv,Fixed_Anchor_low_sep0.0_anchor0.25,XGBoost,0.42391304347826086,0.7358490566037735,0.375,0.4875,0.49230769230769234,3.0
covid,1,synthetic_only_internal_cv,Fixed_Anchor_low_sep0.0_anchor0.25,CatBoost,0.4358543417366947,0.6415094339622641,0.42916666666666664,0.4509615384615384,0.5653846153846154,4.0
covid,1,synthetic_only_internal_cv,Fixed_Anchor_low_sep0.0_anchor0.25,XGBoost,0.45493042952208107,0.6792452830188679,0.4556737588652482,0.47596153846153844,0.6153846153846154,4.0
covid,1,synthetic_only_internal_cv,Fixed_Anchor_low_sep0.0_anchor0.25,CatBoost,0.5546218487394958,0.7169811320754716,0.5763888888888888,0.5528846153846154,0.6942307692307692,5.0
covid,1,synthetic_only_internal_cv,Fixed_Anchor_low_sep0.0_anchor0.25,XGBoost,0.5190562613430127,0.7169811320754716,0.549645390070922,0.5269230769230769,0.6807692307692308,5.0
covid,1,train_synthetic_test_real_cv,Fixed_Anchor_medium_sep0.0_anchor0.5,CatBoost,0.5227920227920227,0.7014925373134329,0.5359649122807018,0.5251225490196079,0.5208333333333334,
covid,1,train_synthetic_test_real_cv,Fixed_Anchor_medium_sep0.0_anchor0.5,XGBoost,0.4582210242587601,0.6417910447761194,0.45606060606060606,0.4644607843137255,0.5526960784313726,
covid,1,synthetic_only_internal_cv,Fixed_Anchor_medium_sep0.0_anchor0.5,CatBoost,0.4477272727272727,0.6666666666666666,0.44791666666666663,0.4732142857142857,0.5375,1.0
covid,1,synthetic_only_internal_cv,Fixed_Anchor_medium_sep0.0_anchor0.5,XGBoost,0.5433403805496828,0.7037037037037037,0.5679347826086957,0.5446428571428571,0.6267857142857143,1.0
covid,1,synthetic_only_internal_cv,Fixed_Anchor_medium_sep0.0_anchor0.5,CatBoost,0.4477272727272727,0.6666666666666666,0.44791666666666663,0.4732142857142857,0.5482142857142857,2.0
covid,1,synthetic_only_internal_cv,Fixed_Anchor_medium_sep0.0_anchor0.5,XGBoost,0.39325842696629215,0.6481481481481481,0.35714285714285715,0.4375,0.4571428571428572,2.0
covid,1,synthetic_only_internal_cv,Fixed_Anchor_medium_sep0.0_anchor0.5,CatBoost,0.39080459770114945,0.6415094339622641,0.3617021276595745,0.425,0.4519230769230769,3.0
